Feature Configuration,Accuracy,Precision,Recall,F1-Score
TF-IDF Only,0.8796608055867315,0.8854299566215872,0.870546914199699,0.8779253636938646
TF-IDF + Sentiment,0.8800349170719541,0.8859111791730475,0.8707977922729554,0.8782894736842105
TF-IDF + Review Length,0.885397181693478,0.8933059758912542,0.8738083291520321,0.8834495878249842
TF-IDF + Uppercase Ratio,0.8800349170719541,0.8857142857142857,0.8710486703462117,0.878320263091323
TF-IDF + Exclamation Count,0.8794113979299164,0.8853714577482767,0.8700451580531862,0.8776414019992408
TF-IDF + Lexical Diversity,0.8925052999127073,0.8978604177279674,0.8843452082288008,0.891051567239636
TF-IDF + All Features (Combined),0.8916323731138546,0.8964640040702111,0.8840943301555444,0.8902362005810281
