feature,importance
perfectli,0.0003777632708686332
christma,0.00037559794677805166
last,0.00037433454520086946
replac coupl,0.0003717170286490096
one ive,0.0003696734807978127
tell,0.0003685668159304382
bring,0.00036855954257581616
abl,0.0003682519647421771
order size,0.0003681762743524835
later,0.00036746666120168986
done,0.00036597860556089276
christma absolut,0.00036396977147725595
easi clean,0.0003631358747877115
wear,0.0003599800782075627
today,0.0003589172526930619
littl thin,0.0003571151652043463
expect,0.0003552599679395102
fall,0.00035521782673558495
watch,0.00035352876306742547
im happi,0.0003527270079871845
instruct,0.0003524906609399481
soft,0.00035081691922865467
stay,0.0003493290531172778
kind,0.00034416736995447335
cover sturdi,0.00034315716470328993
review,0.00034275542513027135
screw,0.00034152099271007375
stop,0.00034080696558429804
total,0.00034072103479192416
kid,0.0003382715272146854
definit read,0.0003382466061356311
peopl,0.0003370246166638241
huge,0.0003358181716507825
plan,0.0003354295833204881
unless,0.0003343483300873808
last day,0.00033151157452068677
easi use,0.00033118199068411466
light,0.000329949057170836
offer,0.00032774263473364976
exactli,0.0003271612249509754
love feel,0.00032657770154702706
chang,0.0003240192440471941
friend big,0.00032031718687910895
differ,0.00031661748942840877
schlage,0.0003164727021729784
write,0.0003155363751515631
els,0.0003153406315633892
live,0.00031528956877417946
thought would,0.0003123148115171311
great product,0.0003115671590221126
goe,0.00031049460564011914
couldnt,0.0003103150937097764
figur,0.00030799595199184986
room,0.0003077890490919791
box,0.0003059793077042011
charact strong,0.0003048481296099321
wash,0.0003044971128126683
around,0.00030401840804211824
must,0.0003031422758966179
book great,0.00030306233693261396
design,0.00030177833603678596
decid,0.00030159560039952815
year old,0.00030058220412394987
recommend product,0.00030049367623237217
guess,0.0003002862542327001
allow,0.00029923335416653604
excel,0.0002986019262668239
bought daughter,0.0002982078952359063
littl smaller,0.00029816173142647605
broken one,0.00029814609461454607
brand,0.0002970010042089061
woman,0.000296198766675818
sever,0.0002951473839291294
difficult,0.0002936917712958565
absolut love,0.00029266872505406285
use coupl,0.0002903844808973388
cost,0.00028992236317420443
good reason,0.0002879050935733736
place,0.00028772482082755507
togeth,0.00028722940528537087
iti bought,0.0002852566853725333
disappoint,0.00028328162505748036
rather,0.00028079706116049177
old one,0.00028041563796905785
probabl,0.0002766131699803197
smaller,0.00027171539784936425
top,0.0002715735917040081
bodi,0.00027156038268222343
love book,0.0002703948788115064
fill,0.0002695603573289934
short,0.00026860605634805844
talk,0.00026619948041429494
hour,0.0002656929018194165
soft comfort,0.00026484201013089634
week,0.0002642457563469182
cant wait,0.00026254684923236645
look feel,0.00026247999119154955
clean,0.0002614578077573197
littl tight,0.00026107424613684314
comfort fit,0.0002602491834011682
comfort also,0.00026014740683162477
build,0.0002583672809401044
ye,0.00025743285240839066
surpris,0.00025675024725870345
clear,0.0002559756518397174
exchang honest,0.00025542390459167463
instal,0.00025457287273207834
base,0.00025377068818315066
enjoy movi,0.0002521511472225869
happen,0.0002520981032083163
plot,0.000251507450249754
size fit,0.0002506964425106978
gave,0.00024922041694742307
want get,0.00024799493067806524
wait,0.000246531892619892
month,0.00024628552922547427
miss,0.00024414396941031694
littl bit,0.00024375089987927392
caus,0.00024355918881785915
tight,0.00024352745292906768
issu,0.00024261680213039913
read author,0.00024253156842105817
broken,0.0002425201455089767
book love,0.0002423766409171058
fine,0.00024211081043695883
job,0.00024051863535799783
day enjoy,0.00023934551033790824
valu,0.00023789685047796683
lose,0.00023730575858159356
open,0.00023637159163775187
care,0.0002362144855306656
possibl,0.00023503184765610266
bought husband,0.0002349722101399795
boy,0.00023408079702609091
favorit,0.00023280332092795623
nicei bought,0.00023206255482697842
appear,0.00023180947485372235
awesom,0.0002312161300506836
extra,0.00023082520723684437
felt,0.0002307390474502647
wait see,0.00023022934532985318
glad,0.00022928053351754544
check,0.00022855950661224557
littl larg,0.00022824395183566407
outsid,0.00022794638236860117
front,0.00022698789032526094
kept,0.000226835139513982
romanc,0.00022605389275807513
littl hard,0.00022601389608094797
receiv,0.00022589652559974852
bag,0.00022503169412208402
test,0.00022502032198721666
cover,0.00022483959443183314
weight,0.0002242908661651476
toy,0.0002240432577606293
wear size,0.0002237746043702865
stick,0.00022376509429012037
one bathroom,0.00022253879597974966
carri,0.00022077615444315916
line,0.00021864437560877487
purchasethi,0.000218172967983022
look great,0.0002173697476771403
famili,0.00021685782036258972
case,0.00021633709538884243
light easi,0.0002156730987916499
mind,0.00021552364436001211
act great,0.00021514881764787993
whole,0.00021482335854265864
gift,0.0002144900568509593
guy,0.0002143710388506985
person,0.00021362807367430572
within,0.00021277273007294688
connect,0.00021124221414864963
next one,0.00021049283409394634
ask,0.00020995411671652253
husband,0.00020906987744191235
includ,0.00020897050219655745
book middl,0.0002079849771100185
book would,0.00020769365015068796
use tr,0.00020727082204054673
pictur,0.00020702669334625462
charact believ,0.00020697279523628986
stuff,0.0002063991819382404
histori,0.00020633846102344186
prettyi bought,0.00020571420442944377
believ,0.0002052496964469954
night,0.0002051065907749558
shoe,0.00020506935916252844
scene,0.00020388682325917534
money,0.00020231593370138485
idea,0.00020159246814378047
second,0.00020130881979060539
sound,0.00020057747893241642
next book,0.0002004482549551194
protect,0.00020020869563951139
cute,0.00020009204905183458
travel,0.00019998031025215163
type,0.00019896488420237399
havent,0.00019891645881304546
beauti,0.00019875407490061613
would chang,0.00019858269185702947
smell,0.0001984882546005973
handl,0.00019818530583189844
treat,0.00019638595463552995
deal,0.0001963093856535634
amount,0.00019461150421619554
age,0.00019457494794439056
front part,0.00019427379164881997
lost,0.00019426269513013767
break,0.00019305319368843692
pack,0.0001925689974389186
good book,0.00019185955406144577
worth,0.00019134135663092456
happi purchasethi,0.00019098899748436738
two small,0.00019031007531052313
buy anoth,0.00019008819141189638
action,0.00018879460916717384
main charact,0.00018872043158915078
understand,0.0001885822534985731
batteri,0.0001882468794405824
worri,0.00018738038250037015
amaz,0.00018717031562566573
plenti,0.00018700547563483397
humor,0.00018677613645536926
dog sensit,0.00018676976076988444
packag,0.00018659473350708658
love movi,0.00018583723879542137
move,0.0001857823102408119
cannot,0.00018562957517556205
love toy,0.00018558770362726694
pricey,0.0001853118087152228
begin,0.00018483826095820808
game,0.0001832759875826265
feet,0.00018281189991022146
longer,0.00018213266459267665
stori great,0.00018121959008588054
servic,0.00018096600298426007
mine,0.00018052285546774527
good one,0.00018046479564193263
absolut,0.00017971873087699075
love play,0.00017966802304803526
either,0.00017927792217013378
young,0.00017817406259789775
work fine,0.00017789980198929046
learn,0.0001776165805877823
world,0.00017758565695934734
unit,0.0001775850217321008
plug,0.00017661758954072744
even though,0.00017636167964969407
heavi,0.0001755615220590846
great size,0.00017477901481862114
work well,0.00017475624942259223
chew,0.00017315816064061965
eye,0.0001731109347416559
littl pricey,0.0001727141187894401
nice solid,0.00017250355114822166
face,0.00017242516102803897
cat,0.00017199914699106994
note,0.00017136451366596883
eat,0.00017076950476608687
honest,0.00017058207425115073
plot well,0.00017005361579067044
past,0.0001699243558415485
itthi,0.00016988696265007774
power,0.00016955364710381817
good qualiti,0.00016829934270939093
immedi,0.00016813247391609046
sit,0.00016740577982393305
alon,0.00016687174423378443
one best,0.00016661679461159925
hard get,0.00016659584088103642
dont know,0.00016566478952390954
excit,0.00016565103260203989
replac schlage,0.00016517831097310386
blue,0.000165028806077552
main,0.00016493119491432272
read read,0.000164179278375021
opinion,0.00016317510352276195
stretchi,0.0001631264344898463
low,0.00016305260994072576
hous,0.00016296470745052566
love one,0.00016267231928280174
ago,0.00016196743544573904
friend small,0.0001615355291973846
glass,0.00016140834974625706
written well,0.00016137859005817197
food,0.0001610339802283963
tool,0.00016072638248508717
realli like,0.00016023791801249263
extrem,0.00016013422867156257
style,0.00015950155055129953
otherwis,0.00015927934342549355
dri,0.00015921150350018363
exchang,0.00015904758975706864
light bright,0.00015902106874324335
forward next,0.0001586695878959423
book read,0.00015847339772387576
futur,0.0001584217147857522
true,0.00015579083407970263
reader,0.00015573386906922828
need make,0.00015556352254968001
close,0.00015546237584385117
great use,0.0001551459610060771
man,0.00015496757495991867
pay,0.00015490142238123918
continu,0.0001548355803419093
coupl month,0.00015478516119698656
good read,0.00015473257039459758
follow,0.0001545308442266135
brother,0.00015432471767379296
problem small,0.00015425714652205999
producti,0.00015417792393792088
name,0.00015357744344193517
custom,0.00015345856964692529
word,0.00015294856331331006
saw first,0.000152795018311113
your,0.00015278307522649504
girl,0.00015269935772964577
portabl,0.00015245048020121567
great stori,0.0001517879111532251
movi movi,0.00015109652373948102
item,0.00015097725433114883
white,0.00015005189653562016
develop believ,0.00014974345949549914
grip,0.0001492014722079139
sound great,0.0001487048477691201
state,0.00014856605194269265
head,0.00014799515264500714
real,0.00014759470304849225
store,0.00014713414551526923
bigger,0.00014662220416903325
ad,0.00014634370502340552
full,0.00014597032556254541
length,0.00014551344044149943
much bought,0.0001452564336365313
simpl,0.0001440004844005346
cloth,0.00014392269872992317
perfect size,0.0001437792589797706
adjust,0.0001436108921925261
support,0.00014355171478921125
id,0.00014284821509312837
honest review,0.0001428215605161317
middl,0.0001426305885463397
speaker,0.0001425195728827657
normal,0.00014247190934636394
like charact,0.0001422781621777742
typic,0.0001420668832035365
consid,0.0001405387105510361
four,0.00013993783435923426
finish,0.00013970663833887855
tv,0.00013872150979491013
spend,0.00013838429380271102
sturdi piec,0.00013823420133271514
ship,0.00013807900321666
spot,0.0001371579425343592
recent,0.00013631873909547513
book littl,0.00013622853624227239
love thisgreat,0.0001361273814279248
predict,0.00013533202156962586
littl speaker,0.00013513205115331611
bought tv,0.0001345756855966902
comput,0.00013436907986837985
anyway,0.00013425228247729686
expens,0.00013399046590201755
space,0.00013360415854149846
thick,0.0001320796979858487
hot,0.0001319009857035045
lol,0.00013182507329495552
love great,0.00013174032948494685
friend happi,0.00013073247752754888
film,0.00013068618200154348
mix,0.00013059977563303042
phone,0.00013051151993959768
durabl,0.0001304000075117547
hate,0.00013034434876193845
lot action,0.0001301766312496131
children,0.00012969436635176568
rubber,0.0001293563017682833
soon,0.0001287237953238439
fell love,0.00012870209090294705
bagveri,0.00012855232714853847
enough make,0.00012840329255270244
birthday,0.00012748733545993017
foot,0.00012663618982630288
son live,0.00012647688329210337
larger,0.0001263509135532136
floor,0.0001260555786923678
start get,0.0001258648939787604
compani,0.00012475879251153918
nicei,0.0001245892998225216
lb,0.00012450798172242505
despit,0.00012358970822603358
version,0.00012259349924189167
air,0.0001225901326070458
origin,0.00012253575793301724
pet,0.00012251678587461078
anyonei,0.0001225011599645864
feel like,0.0001224717783779199
slow,0.00012206887338648893
ive also,0.00012193225190634281
fantast,0.0001218163328454808
area,0.00012181247340344544
gener,0.00012177836672345354
seen,0.0001212013006328261
there,0.00012114026184263534
heat,0.0001210360844610385
present,0.00012069906753829945
youll,0.00012069555705771312
given book,0.0001204706727381887
profession,0.00012035370678029605
grow,0.00012027096627801433
would nice,0.00011957694658914667
ride,0.00011938802545522428
experi,0.00011907985723701507
schlage bulb,0.00011901281212455998
write good,0.00011897657765626658
perhap,0.00011877079511481259
hard time,0.00011851876980367124
car,0.00011835721389111067
wife love,0.00011834157135452387
drive,0.00011819955261465178
laugh,0.000118134582188244
creat,0.00011786678928588897
sex,0.00011782945674716082
impress,0.00011767524806642045
dont think,0.00011754339955744421
steel,0.00011742481329508546
broke,0.00011714190068980657
anim,0.00011673921486815469
put want,0.00011657405952705679
shape,0.00011652744192080472
ms,0.00011637883106497392
warm,0.0001162452658190243
tear,0.00011614280000055627
part sturdi,0.00011576581423341791
shame,0.00011568272101323034
also light,0.00011543293140181185
regular,0.00011463068067461035
free,0.0001145085593158281
satisfi,0.00011439945456500422
twist,0.00011411733567409234
half,0.00011411077592029658
held,0.0001135926690219812
given,0.00011357080026422503
he,0.00011340350042898083
movi lot,0.00011333977482475936
remov,0.00011310102173958172
she,0.00011286385738059514
tall,0.00011278953724936339
leg,0.0001124339592740517
sad,0.00011233322714627166
believ stori,0.00011220569871005535
relationship,0.00011202897518976181
quick,0.00011199738984207251
qualitynic,0.00011192377041908103
keep review,0.00011189276708904679
mysteri,0.00011158274411985212
pleas qualiti,0.00011155135409773757
must read,0.00011142088412748943
sexi,0.00011126978357619892
rate,0.00011122744076574016
babi,0.00011117316690217677
typo,0.00011110497247322728
wrong,0.0001110021380874674
pocket,0.00011070357289362715
bore,0.00011024848599561766
becom,0.00010972405665077638
upon,0.00010962080837393224
arriv,0.00010958116275445663
mess,0.00010921377498460641
heart,0.00010904628000819541
ok,0.00010894252522952909
multipl,0.00010878030775125434
size order,0.00010849273403247395
train,0.00010844073024265298
ac,0.0001080001610496447
bought one,0.00010794413655014507
tast,0.0001079122296766962
across,0.00010784150474242608
ill,0.0001078271380366264
easi put,0.00010775422150733171
knew,0.00010733952614325702
purchasethi great,0.00010715433547697024
quick read,0.00010691679303773976
basic,0.00010642989145398232
love wear,0.00010632279486633893
describ,0.00010617764655467816
high qualiti,0.00010614176450921739
suggest,0.00010589767453298721
great light,0.00010581136090295507
new one,0.00010573366129415436
current,0.00010542000391044771
strap,0.00010483777664757004
wall,0.00010469742955877806
keep bag,0.00010423807207660662
bulki,0.00010382558388039477
product anyon,0.00010372315185866348
adventur,0.00010351037891413655
school,0.00010344430188930921
troubl,0.00010342786137746518
im pleas,0.0001029146586599748
meet,0.0001028948684703818
pop,0.00010285968254594439
often,0.00010274965730878202
know long,0.00010247841844189335
updat review,0.00010241986401819112
charact plot,0.00010228931649963243
special,0.00010227144424531389
whether,0.00010226764146112803
len,0.00010190502492817149
kitchen,0.00010186774312928477
answer,0.00010166464716676344
ive use,0.00010160085741998754
fairli,0.00010112390589692356
mile,0.00010104043620853447
adapt,0.00010103731280291739
inch,0.00010063543830298211
stori interest,0.00010059257482058003
struggl,9.99333366253634e-05
pretti good,9.9767108637242e-05
skill,9.934321647518573e-05
great pricework,9.926380654835809e-05
morn,9.922632583512245e-05
