Model,Feature,Accuracy,Precision,Recall,F1-Score
Logistic Regression,TF-IDF Only,0.8752961715924679,0.8826242952332137,0.8640240842950326,0.8732251521298174
Logistic Regression,TF-IDF + FE,0.8829031051253273,0.8939746573571243,0.8672854992473658,0.8804278619635808
SVM (Linear),TF-IDF Only,0.8796608055867315,0.8854299566215872,0.870546914199699,0.8779253636938646
SVM (Linear),TF-IDF + FE,0.8916323731138546,0.8964640040702111,0.8840943301555444,0.8902362005810281
Naive Bayes,TF-IDF Only,0.8518518518518519,0.8734650293646556,0.8208730556949323,0.8463528194516295
Naive Bayes,TF-IDF + FE,0.8564658935029306,0.8723404255319149,0.8331660812844958,0.8523033491595021
Random Forest,TF-IDF Only,0.7771542586357402,0.8705763397371082,0.6480180632212744,0.7429886379979865
Random Forest,TF-IDF + FE,0.803840877914952,0.8816830117051566,0.6991971901655796,0.7799076535609346
