Kelompok,Total Ulasan,Rata-rata Panjang Karakter,Rata-rata Tanda Seru,Rata-rata Rasio Kapital,Rata-rata Sentimen VADER,Rata-rata Diversitas Leksikal
True Positive (TP),3470,265.66253602305477,0.24236311239193084,0.006890475137144769,0.625824870317003,0.7699638210703338
True Negative (TN),3584,283.17020089285717,0.42103794642857145,0.011216491276423402,0.5322008649553572,0.8485030363617924
False Positive (FP),449,120.58129175946547,0.2650334075723831,0.018964907051252557,0.5109516703786192,0.9120524133583132
False Negative (FN),516,167.59108527131784,0.18023255813953487,0.018125463507981842,0.46257441860465115,0.8431762514401311
